Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6440636214,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,9km,1 x Bageecha Pizza,,,799.0,39.95,0.0,0.0,0.0,0.0,838.95,5.0,,,,,15.9,3.4,Correctly,,c21532d82c27e038643e04f361b60075105223f7de6365711278e1c71cf67a21
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6531073102,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,3km,1 x Murgh Amritsari Seekh Pizza,,Flat Rs.100 off,649.0,32.45,0.0,0.0,0.0,0.0,681.45,4.0,,,,,23.93,2.0,Correctly,,0ac70bd30bb89b13ac6c964c01434d170fae302cfbd09f1b6f7400401e5265ea
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6303684859,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,6km,1 x Makhani Paneer Pizza,,,749.0,37.45,0.0,0.0,0.0,0.0,786.45,,,,,,16.32,5.0,Correctly,,17d09731b4b39a3905358bd333055b118ed13a6d82cc978db5398878e52fea5b
21173951,Aura Pizzas,Vasant Kunj,Delhi NCR,6444387855,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,5km,"1 x Pepperoni Garlic Bread, 1 x Mutton Seekh Pizza",,,958.0,23.95,0.0,479.0,0.0,0.0,502.95,5.0,,,,,14.78,0.9,Correctly,,e5df7fc40789d6d965052dc320acf09b26898e0fff1c0613d41a0b2a49793363
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6378510144,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,4km,"1 x Peanut Butter Chocolate Pide, 1 x Chicken Pepperoni Pizza",,Flat Rs.200 off,1207.0,50.35,200.0,0.0,0.0,0.0,1057.35,,,,,,21.9,0.6,Correctly,,e2128926b737c88187ad1479cd4b319d3f7ea8d3f0b67340185129da3b26b842
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6554521148,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,3km,1 x Bone in Jamaican Grilled Chicken,,50% off upto Rs.100,595.0,25.75,80.0,0.0,0.0,0.0,540.75,,,,,,12.8,6.1,Correctly,,3ecc727f3f966965c126b32a9b3b8fd6953c96480eb0c40fc701f75f18aa510e
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6171121571,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,4km,"1 x Makhani Paneer Pizza, 1 x Desi Pepperoni Pizza",,Flat Rs.200 off,1238.0,51.9,200.0,0.0,0.0,0.0,1089.9,,,,,,31.73,20.7,Correctly,,b55796f2987616919d47e9555309b6b8c33cff2d4e12cacd9a2864ff7580b812
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6275386700,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,1km,2 x Masala Paneer Pide,,Buy 1 Get 1 - ₹319.00,319.0,15.95,0.0,0.0,0.0,0.0,334.95,,,,,,17.8,8.6,Correctly,,2536ad127f63b8916158f2f6e36b9b19fb4c243f8b07d1e22659d99dbed35c0f
20882713,Swaad,DLF Phase 1,Delhi NCR,6261922901,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,4km,"1 x Peri Peri Crisper Fries, 1 x Bone in Smoky Bbq Grilled Chicken",,50% off upto Rs.100,569.0,23.45,100.0,0.0,0.0,0.0,492.45,,,,,,17.43,0.3,Correctly,,6d27136b18d1bf4906f7575ada056f9d8a42a667f9a6cd96b01544840937801f
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6191160238,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,10km,"1 x Fried Chicken Strips, 1 x Murgh Amritsari Seekh Melt",,Buy 1 Get 1 - ₹249.00,479.0,23.95,0.0,0.0,0.0,0.0,502.95,,,,,,17.09,13.2,Correctly,,2cc11fab7fb60355d910b695600e1afd1a79ec3e55367167181240e111b2bd44
20659868,Aura Pizzas,Sector 4,Delhi NCR,6478321570,"08:01 AM, September 12 2024",Delivered,Zomato Delivery,4km,1 x Chilli Cheese Garlic Bread,,60% off upto Rs.120,259.0,8.45,90.0,0.0,0.0,0.0,177.45,,,,,,11.33,9.0,Correctly,,1dd8a5a1e8f01ff258e7d30c577ab5ab1e4c6384dfc02ba44ce470c75e64f0d0
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6346561133,"08:01 AM, September 12 2024",Delivered,Zomato Delivery,5km,"1 x Bone in Peri Peri Grilled Chicken, 1 x AAC Signature Crisper Fries",,Flat Rs.150 off,509.0,21.5,79.0,0.0,0.0,0.0,451.5,,,,,,14.28,5.0,Correctly,,868624c537edb4f1dbda0cc6ba964f950306578374d464a68c8fb817216b324e
